title,content,category,sub_category
Ngành Quản trị Kinh doanh (Ngành mới tuyển sinh 2025),"Ngành Quản trị kinh doanh, chuyên ngành Kinh doanh số cung cấp kiến thức tổng quát về quản trị kinh doanh, kiến thức chuyên sâu về kinh doanh số và kiến thức liên quan đến ứng dụng kỹ thuật số của cách mạng công nghiệp 4.0 vào kinh doanh và quản lý. 
Nghề nghiệp sau khi tốt nghiệp: Chuyên viên chuyển đổi số; Chuyên viên tại phòng kinh doanh, phòng kế hoạch, phòng marketing, phòng nhân sự; Chuyên viên phân tích dữ liệu kinh doanh; Chuyên viên thương mại điện tử; Chuyên viên quản lý dự án; Chuyên viên quản trị hệ thống thông tin của doanh nghiệp; Tự khởi nghiệp trong lĩnh vực kinh doanh, logistics, nhân sự, thương mại, tài chính……",MÔ TẢ CHI TIẾT CÁC NGÀNH ĐÀO TẠO ĐẠI HỌC CHÍNH QUY,Ngành Quản trị Kinh doanh (Ngành mới tuyển sinh 2025)
Ngành Công nghệ truyền thông (Ngành mới tuyển sinh 2025),"Ngành Công nghệ truyền thông kết hợp giữ Công nghệ thông tin và truyền thông, với mục tiêu quản lý, tạo ra và phân phối thông tin qua các phương tiện truyền thông hiện đại. Các chuyên ngành trong lĩnh vực này bao gồm truyền thông kỹ thuật số, mạng máy tính, phát triển phần mềm, truyền hình và marketing trực tuyến.
Cơ hội việc làm: Chuyên viên phân tích dữ liệu truyền thông, quản trị mạng, phát triển phần mềm, biên tập viên nội dung, chuyên viên truyền thông kỹ thuật số, chuyên gia SEO/SEM. Cơ hội việc làm rất đa dạng, từ các công ty công nghệ, truyền thông, báo chí, các tổ chức quảng cáo, marketing và khởi nghiệp trong các dự án sáng tạo…",MÔ TẢ CHI TIẾT CÁC NGÀNH ĐÀO TẠO ĐẠI HỌC CHÍNH QUY,Ngành Công nghệ truyền thông (Ngành mới tuyển sinh 2025)
Ngành Vật lý kỹ thuật (Ngành mới tuyển sinh 2025),"Ngành  Vật lý kỹ thuật của trường Đại học Sư phạm Kỹ thuật TP. Hồ Chí Minh là ngành định hướng công nghệ bán dẫn và cảm biến, đo lường, đào tạo mang tính liên ngành,  ứng dụng các nguyên lý vật lý và toán học để phân tích và giải quyết các vấn đề kỹ thuật và ứng dụng liên ngành. Mục tiêu tổng quát của ngành là đào tạo kỹ sư Vật lý Kỹ thuật có năng lực chuyên môn, được trang bị các kiến thức cơ sở vững vàng, có khả năng lãnh đạo, sáng tạo và khả năng tự học suốt đời trong lĩnh vực Vật lý kỹ thuật, đáp ứng nhu cầu lao động có trình độ kỹ thuật cao của đất nước. 
Cơ hội việc làm: Tốt nghiệp ngành Vật lý Kỹ thuật sinh viên có thể làm việc tại các doanh nghiệp hoạt động trong các lĩnh vực như: Các lĩnh vực liên quan đến vật liệu mới, vi điện tử – đo lường, lĩnh vực vật liệu điện tử, bán dẫn, vi mạch, vật liệu tổng hợp (composites), mực in thông minh,…",MÔ TẢ CHI TIẾT CÁC NGÀNH ĐÀO TẠO ĐẠI HỌC CHÍNH QUY,Ngành Vật lý kỹ thuật (Ngành mới tuyển sinh 2025)
Đối tượng tuyển sinh,"Học sinh của tất cả các trường Trung học phổ thông (THPT) trên cả nước và học sinh học chương trình giáo dục phổ thông của nước ngoài hoặc học ở nước ngoài.
","THÔNG TIN VỀ TUYỂN SINH ĐẠI HỌC HỆ LIÊN KẾT ĐÀO TẠO QUỐC TẾ NĂM 2025
",Đối tượng tuyển sinh
Phương thức tuyển sinh,"Theo 1 trong các  phương thức: 
- Xét tuyển dựa vào kết quả của kỳ thi Trung học phổ thông năm 2025 trên toàn quốc với các tổ hợp môn.
- Xét tuyển dựa vào tổng điểm trung bình học bạ 6 học kỳ hoặc tổng điểm trung bình học bạ 2 học kỳ của lớp 12 của 3 môn theo tổ hợp từ 18 điểm trở lên (không giới hạn ngưỡng điểm trung bình từng môn, áp dụng cho thí sinh tốt nghiệp năm 2024 và các năm trước). 
- Xét tuyển các điều kiện tương đương đối với thí sinh học chương trình giáo dục phổ thông của nước ngoài hoặc học ở nước ngoài.
- Xét tuyển theo điểm kỳ thi đánh giá năng lực.
- Xét tuyển sinh viên các trường Đại học.
Tổ hợp môn xét tuyển: Toán, Lý, Hóa (A00); Toán, Lý – Anh (A01); Toán, Văn, Anh (D01); Toán, Anh, Khoa học tự nhiên (D90).
Thí sinh đăng kí xét tuyển trực tuyến tại http://xettuyenqt.hcmute.edu.vn 
","THÔNG TIN VỀ TUYỂN SINH ĐẠI HỌC HỆ LIÊN KẾT ĐÀO TẠO QUỐC TẾ NĂM 2025
",Phương thức tuyển sinh
"Các ngành đào tạo, lộ trình và chỉ tiêu tuyển sinh","```markdown
| TT  | Tên ngành đào tạo                           | Mã ngành         | Lộ trình học và chỉ tiêu tuyển sinh                                                                                                                                      | Cấp bằng                         |
|-----|-------------------------------------------|------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|
| 1   | Kỹ thuật Điện – Điện tử                   | 7520202QS        | 3 năm đầu học tại SPKT (Năm 1 học Tiếng Anh, được miễn học năm 1 nếu có IELTS 6.0 trở lên). 1 năm cuối học tại ĐH Sunderland hoặc học tại SPKT. Chỉ tiêu: 100.     | Đại học Sunderland (Anh Quốc).  |
| 2   | Quản trị Kinh doanh                       | 7340101QS, 7340303QS | 3 năm đầu học tại SPKT (Năm 1 học Tiếng Anh, được miễn học năm 1 nếu có IELTS 6.0 trở lên). 1 năm cuối học tại ĐH Sunderland hoặc học tại SPKT. Chỉ tiêu: 100.     | Đại học Sunderland (Anh Quốc).  |
| 3   | Logistics và Tài chính Thương mại        | 7510606QN        | 3 năm đầu học tại SPKT (Năm 1 học Tiếng Anh, được miễn học năm 1 nếu có IELTS 6.0 trở lên). 1 năm cuối học tại ĐH Northampton hoặc học tại SPKT. Chỉ tiêu: 60.     | Đại học Northampton (Anh Quốc). |
| 4   | CNKT Cơ khí                               | 7510201QT        | 2 năm đầu học tại SPKT. 2 năm sau học tại ĐH Tongmyong. Chỉ tiêu: 50.                                                                                               | Đại học Tongmyong (Hàn Quốc).   |
| 5   | CNKT Ô tô                                 | 7510205QT        | 2 năm đầu học tại SPKT. 2 năm sau học tại ĐH Tongmyong. Chỉ tiêu: 50.                                                                                               | Đại học Tongmyong (Hàn Quốc).   |
| 6   | Công nghệ Thông tin                       | 7480201QT        | 2 năm đầu học tại SPKT. 2 năm sau học tại ĐH Tongmyong. Chỉ tiêu: 50.                                                                                               | Đại học Tongmyong (Hàn Quốc).   |
| 9   | Quản trị Kinh doanh                       | 7340101QK        | 2 năm đầu học tại SPKT. 2 năm sau học tại ĐH Kettering. Chỉ tiêu: 50.                                                                                                | Đại học Kettering (Mỹ).         |
| 10  | CNKT Điện – Điện tử                       | 7510301QK        | 2 năm đầu học tại SPKT. 2 năm sau học tại ĐH Kettering. Chỉ tiêu: 50.                                                                                                | Đại học Kettering (Mỹ).         |
| 11  | CNKT Cơ khí                               | 7510201QK        | 2 năm đầu học tại SPKT. 2 năm sau học tại ĐH Kettering. Chỉ tiêu: 50.                                                                                                | Đại học Kettering (Mỹ).         |
| 12  | CNKT Máy tính                             | 7480108QK        | 2 năm đầu học tại SPKT. 2 năm sau học tại ĐH Kettering. Chỉ tiêu: 50.                                                                                                | Đại học Kettering (Mỹ).         |
| 13  | CNKT Chế tạo máy và Công nghiệp          | 7510202QK        | 2 năm đầu học tại SPKT. 2 năm sau học tại ĐH Kettering. Chỉ tiêu: 50.                                                                                                | Đại học Kettering (Mỹ).         |
| 14  | CNKT Xây dựng                            | 7510103QA        | 2 năm đầu học tại SPKT. 2 năm sau học tại ĐH Adelaide. Chỉ tiêu: 50.                                                                                               | Đại học Adelaide (Úc).          |
| 15  | Công nghệ Thông tin                      | 7480201QA        | 2 năm đầu học tại SPKT. 2 năm sau học tại ĐH Adelaide. Chỉ tiêu: 50.                                                                                               | Đại học Adelaide (Úc).          |
| 16  | CNKT Cơ khí                              | 7510201QG        | 2 năm đầu học tại SPKT. 2 năm sau học tại ĐH Griffith. Chỉ tiêu: 25.                                                                                                | Đại học Griffith (Úc).          |
| 17  | Quản trị Kinh doanh                      | 7340101QE        | 2 năm đầu học tại SPKT. 2 năm sau học tại ĐH ESSCA. Chỉ tiêu: 25.                                                                                                  | Đại học ESSCA (Pháp).           |","THÔNG TIN VỀ TUYỂN SINH ĐẠI HỌC HỆ LIÊN KẾT ĐÀO TẠO QUỐC TẾ NĂM 2025
","Các ngành đào tạo, lộ trình và chỉ tiêu tuyển sinh"
Ghi chú,"Ghi chú: 
- Khối xét tuyển cho tất cả các ngành, thí sinh chọn 1 trong 4 tổ hợp: Toán, Lý, Hóa (A00); Toán, Lý – Anh (A01); Toán, Văn, Anh (D01); Khoa học tự nhiên (D90).","THÔNG TIN VỀ TUYỂN SINH ĐẠI HỌC HỆ LIÊN KẾT ĐÀO TẠO QUỐC TẾ NĂM 2025
",Ghi chú
Liên kết đào tạo với ĐH Sunderland (UoS) - Anh Quốc,"```markdown
# Chương trình Đào tạo  
## 1. Kỹ thuật Điện – Điện tử (3+1 hoặc 4+0)  
### Giai đoạn 1  
- Học tiếng Anh, nếu SV đã có **IELTS 6.0** thì được chuyển tiếp sang giai đoạn 2.  
- Cấp chứng chỉ tiếng Anh Cấp độ 4 do Trường Cao đẳng Quốc tế TEG, Singapore cấp (**Tương đương IELTS 6.0**).  
- **Học tại SPKT**.  
- **Học phí**: 70 triệu.  
### Giai đoạn 2  
- Học chuyên ngành.  
- **Học tại SPKT**.  
- **Học phí**: 70 triệu.  
### Giai đoạn 3  
- Học chuyên ngành.  
- **Cấp bằng ĐH của UoS**.  
- **Học tại SPKT hoặc UoS**.  
- **Học phí**:  
  - 150 triệu nếu học ở VN.  
  - Khoảng 350 triệu nếu học ở UoS.  
- **Chi phí ăn ở, sinh hoạt ở UK**: Khoảng 350 triệu.  
---
## 2. Quản trị Kinh doanh (3+1 hoặc 4+0)  
- **Chỉ tiêu**: 100  
- **Khối xét tuyển**: A00, A01, D01, D90  
- Hoàn thành giai đoạn 2 được cấp **Bằng Cao đẳng Quốc gia Anh Pearson BTEC Level 5 HND (Higher National Diploma)**.  ","THÔNG TIN VỀ TUYỂN SINH ĐẠI HỌC HỆ LIÊN KẾT ĐÀO TẠO QUỐC TẾ NĂM 2025
","Liên kết đào tạo với ĐH Sunderland (UoS) - Anh Quốc, cấp bằng bởi Đại học Sunderland, mô hình 3 VN + 1 UK hoặc 4 VN+ 0 UK"
Liên kết đào tạo với ĐH Northampton (UoN) - Anh Quốc,"```markdown
## 1. Logistics và Tài chính Thương mại (3+1 hoặc 4+0)  
### Giai đoạn 1  
- Học tiếng Anh, nếu SV đã có **IELTS 6.0** thì được chuyển tiếp sang giai đoạn 2 (**miễn học năm nhất**).  
- Cấp chứng chỉ tiếng Anh Cấp độ 4 do Trường Cao đẳng Quốc tế TEG, Singapore cấp (**Tương đương IELTS 6.0**).  
- **Học tại SPKT**.  
- **Học phí**: 70 triệu.  
### Giai đoạn 2  
- Học chuyên ngành.  
- **Học tại SPKT**.  
- **Học phí**: 70 triệu.  
### Giai đoạn 3  
- Học chuyên ngành.  
- **Cấp bằng ĐH của UoN**.  
- **Học tại SPKT hoặc UoN**.  
- **Học phí**:  
  - 160 triệu nếu học ở VN.  
  - Khoảng 350 triệu nếu học ở UoS.  
- **Chi phí ăn ở, sinh hoạt ở UK**: Khoảng 350 triệu.  
- **Chỉ tiêu**: 50  
- **Khối xét tuyển**: A00, A01, D01, D90  
","THÔNG TIN VỀ TUYỂN SINH ĐẠI HỌC HỆ LIÊN KẾT ĐÀO TẠO QUỐC TẾ NĂM 2025
","Liên kết đào tạo với ĐH Northampton (UoN) - Anh Quốc, cấp bằng bởi Đại học Northampton, mô hình 3 VN + 1 UK."
Liên kết đào tạo với ĐH Tongmyong (TU) - Hàn Quốc,"```markdown
| STT | Ngành                          | Năm 1 và Năm 2                            | Năm 3 và Năm 4 |
|-----|--------------------------------|-------------------------------------------|----------------|
| 1   | Công nghệ Kỹ thuật Ô tô        | **Giai đoạn 1**                           | **Giai đoạn 2** |
| 2   | Công nghệ Kỹ thuật Cơ khí       | - Học kỳ 1: học tiếng Anh                 | - Học chuyên ngành của TU, học tại TU, cấp bằng đại học bởi TU. |
| 3   | Công nghệ Thông tin             | - Các học kỳ còn lại: học chuyên ngành của SPKT | - Học phí: 30 triệu đến 54 triệu/năm tùy thuộc vào điểm IELTS. |
|     |                                 | - Học tại SPKT                            | - Chi phí ở KTX: khoảng 36 triệu/năm (KTX tiêu chuẩn quốc tế, 1 phòng 3 SV, được phục vụ ăn 2 bữa/ngày, trừ thứ 7 chủ nhật). |
|     |                                 | - Học phí: 70 triệu/năm                   | - Chi phí khác: |
|     |                                 | - Phải có IELTS 5.5 mới được chuyển tiếp sang giai đoạn 2 |   + Phí tuyển sinh: 1 triệu |
|     |                                 |                                           |   + Bảo hiểm: 1,6 triệu |
|     |                                 |                                           |   + Giấy chứng nhận đăng ký người nước ngoài: 600.000 |
|     |                                 |                                           | - Các khóa nhập học ở TU bắt đầu vào tháng 3 hoặc tháng 9 hằng năm. |
|     |                                 |                                           | - SV được làm thêm khi đã học tại HQ ít nhất 1 học kỳ, được làm 20 giờ/tuần trong học kỳ, mỗi giờ được trả khoảng từ 140.000 VNĐ đến 250.000 VNĐ. |
|     |                                 |                                           | - Hạn chót nộp hồ sơ phải trước 1,5 tháng so với khóa nhập học tương ứng. |


- **Chỉ tiêu**: 50
- **Khối xét tuyển**: A00, A01, D01, D90

","THÔNG TIN VỀ TUYỂN SINH ĐẠI HỌC HỆ LIÊN KẾT ĐÀO TẠO QUỐC TẾ NĂM 2025
","Liên kết đào tạo với ĐH Tongmyong (TU) - Hàn Quốc, cấp bằng đại học bởi Đại học Tongmyong, lộ trình 2 VN + 2 HQ.
"
Liên kết đào tạo với ĐH Kettering (KU) - Mỹ,,"THÔNG TIN VỀ TUYỂN SINH ĐẠI HỌC HỆ LIÊN KẾT ĐÀO TẠO QUỐC TẾ NĂM 2025
","Liên kết đào tạo với ĐH Kettering (KU) - Mỹ, cấp bằng bởi Đại học Kettering, lộ trình 2 VN + 2 USA."
Liên kết đào tạo với ĐH Adelaide (UoA) - Úc,,"THÔNG TIN VỀ TUYỂN SINH ĐẠI HỌC HỆ LIÊN KẾT ĐÀO TẠO QUỐC TẾ NĂM 2025
","Liên kết đào tạo với ĐH Adelaide (UoA) - Úc, cấp bằng bởi Đại học Adelaide, lộ trình 2 VN + 2 Úc."
 Liên kết đào tạo với ĐH Griffith (UoG) - Úc,,"THÔNG TIN VỀ TUYỂN SINH ĐẠI HỌC HỆ LIÊN KẾT ĐÀO TẠO QUỐC TẾ NĂM 2025
"," Liên kết đào tạo với ĐH Griffith (UoG) - Úc, cấp bằng bởi Đại học Griffith, lộ trình 2 VN + 2 Úc."
Liên kết đào tạo với ĐH ESSCA - Pháp,,"THÔNG TIN VỀ TUYỂN SINH ĐẠI HỌC HỆ LIÊN KẾT ĐÀO TẠO QUỐC TẾ NĂM 2025
","Liên kết đào tạo với ĐH ESSCA - Pháp, cấp bằng bởi Đại học ESSCA, lộ trình 2 VN + 2 Pháp."
Thời gian xét tuyển và nhập học,"```markdown
| Nội dung             | Đợt 1                  | Đợt 2                  |
|----------------------|-----------------------|-----------------------|
| Đăng ký xét tuyển   | 15/03/2025 - 10/09/2025 | 01/10/2025 - 16/12/2025 |
| Nhập học            | 09/2025                | 01/2026                |
","THÔNG TIN VỀ TUYỂN SINH ĐẠI HỌC HỆ LIÊN KẾT ĐÀO TẠO QUỐC TẾ NĂM 2025
",Thời gian xét tuyển và nhập học
Liên hệ,"Khoa Đào tạo Quốc tế - Trường Đại học Sư phạm Kỹ thuật TP. HCM.
Số 01 Võ Văn Ngân, P. Linh Chiểu, TP. Thủ Đức, TP. Hồ Chí Minh.
+ Văn phòng: Phòng F1-707, lầu 7, tòa nhà F1.
+ Tel/Fax: 028.37.225.221, hoặc 028.37.221.223 (ext. 8440 hoặc 8446).
+ Hotline/Zalo: 0902 628 508, 0982 612 805.
+ Website: http://fie.hcmute.edu.vn , 
+ Email: fiec@hcmute.edu.vn, 
+ Facebook /Fanpage: Khoa Đào tạo Quốc tế ĐH Sư phạm Kỹ thuật TPHCM
https://www.facebook.com/DaoTaoQuocTeSPKT ","THÔNG TIN VỀ TUYỂN SINH ĐẠI HỌC HỆ LIÊN KẾT ĐÀO TẠO QUỐC TẾ NĂM 2025
",Liên hệ
"CÁC BƯỚC ĐĂNG KÝ XÉT TUYỂN, CÔNG BỐ KẾT QUẢ VÀ NỘP HỒ SƠ","Bước 1. Thí sinh đăng ký xét tuyển bằng 1 trong 2 phương thức sau:
- Phương thức 1: Đăng ký trực tuyến tại http://xettuyenqt.hcmute.edu.vn, tối đa 10 nguyện vọng (Có hướng dẫn chi tiết từng bước khi làm hồ sơ).
- Phương thức 2: Đăng ký trực tiếp tại Văn phòng ở Cơ sở 1 hoặc Cơ sở 2.
Chú ý: 
- Mỗi thí sinh đăng ký tối đa 10 nguyện vọng (các nguyện vọng được xét theo thứ tự ưu tiên, nguyện vọng 1 là ưu tiên nhất).
- Xét tuyển dùng điểm thi tốt nghiệp Trung học phổ thông theo tổ hợp 3 môn đạt 15 trở lên, không giới hạn ngưỡng điểm trung bình từng môn, áp dụng cho thí sinh tốt nghiệp năm 2024.
- Xét tuyển dựa vào tổng điểm trung bình học bạ 5 học kỳ (không tính học kỳ 2 lớp 12) hoặc tổng điểm trung bình học bạ 2 học kỳ của lớp 12 của 3 môn theo tổ hợp 3 môn đạt 18 trở lên, không giới hạn ngưỡng điểm trung bình từng môn) cho học sinh của tất cả các trường THPT trên cả nước, hoặc các điều kiện tương đương đối với thí sinh học chương trình giáo dục phổ thông của nước ngoài (kể cả thí sinh đã tốt nghiệp các năm trước). 

Bước 2. Nộp phí xét tuyển: 15.000đ/1 nguyện vọng. Nộp qua tài khoản:
+ Tên đơn vị thụ hưởng: Trường ĐH Sư phạm Kỹ thuật TP. HCM 
+ Số tài khoản:  31410001848945
+ Ngân hàng TMCP Đầu tư và phát triển Việt Nam (BIDV), chi nhánh Đông Sài Gòn. TP. HCM 
+ Nội dung chuyển khoản: theo cú pháp [Số chứng minh nhân dân] Họ tên của thí sinh] [XT LKQT].
Ví dụ: 301239612 NGUYEN VAN NAM XT LKQT.
Bước 3. Thí sinh theo dõi kết quả đủ điều kiện vào học tại trường (sẽ chính thức khi học sinh được công nhận tốt nghiệp THPT) được công báo qua trang https://tracuuxettuyenqt.hcmute.edu.vn/.
Bước 4. Sau khi có kết quả đủ điều kiện vào học tại trường và nhận thông báo nhập học, thí sinh nộp hồ sơ (theo hướng dẫn khi nhận giấy báo nhập học), đóng học phí và lệ phí nhập học (500.000 đ/sinh viên) tại Văn phòng ở Cơ sở 1 hoặc Cơ sở 2.
","THÔNG TIN VỀ TUYỂN SINH ĐẠI HỌC HỆ LIÊN KẾT ĐÀO TẠO QUỐC TẾ NĂM 2025
","CÁC BƯỚC ĐĂNG KÝ XÉT TUYỂN, CÔNG BỐ KẾT QUẢ VÀ NỘP HỒ SƠ"
CHÍNH SÁCH KHUYẾN KHÍCH TÀI NĂNG,,"THÔNG TIN VỀ TUYỂN SINH ĐẠI HỌC HỆ LIÊN KẾT ĐÀO TẠO QUỐC TẾ NĂM 2025
",CHÍNH SÁCH KHUYẾN KHÍCH TÀI NĂNG
Đại học Vừa làm vừa học:,"Xét tuyển dựa trên kết quả học bạ THPT: Điểm trung bình học bạ 6 học kỳ của 3 môn Toán-Lý-Hóa hoặc Toán-Lý-Tiếng Anh.
Xét tuyển dựa trên điểm thi THPT 2025, 2024, 2023, 2022 của 3 môn Toán-Lý-Hóa hoặc Toán-Lý-Tiếng Anh.
","THÔNG TIN TUYỂN SINH HỆ ĐÀO TẠO VỪA LÀM VỪA HỌC
",Phương thức tuyển sinh
Đại học VLVH_liên thông từ Trung cấp,Xét tuyển theo Bảng điểm tốt nghiệp Trung cấp hoặc xét tuyển theo Học bạ phổ thông đối với những thí sinh đã tốt nghiệp phổ thông và chỉ có bằng nghề 3/7.,"THÔNG TIN TUYỂN SINH HỆ ĐÀO TẠO VỪA LÀM VỪA HỌC
",Phương thức tuyển sinh
Đại học VLVH_ liên thông từ Cao đẳng,"Xét tuyển theo Bảng điểm tốt nghiệp Cao đẳng.
","THÔNG TIN TUYỂN SINH HỆ ĐÀO TẠO VỪA LÀM VỪA HỌC
",Phương thức tuyển sinh
Ngưỡng đầu vào đối với khối Vừa làm vừa học liên thông Cao đẳng – Đại học ngành Sư phạm Tiếng Anh,"a) Áp dụng một trong các tiêu chí sau:
Học lực lớp 12 đạt loại giỏi trở lên hoặc điểm trung bình chung các môn văn hóa cấp THPT đạt từ 8.0 trở lên;
Tốt nghiệp THPT loại giỏi trở lên hoặc học lực lớp 12 đạt loại khá và có 3 năm kinh nghiệm công tác đúng với chuyên môn đào tạo;
Tốt nghiệp cao đẳng đạt loại giỏi trở lên;
Tốt nghiệp cao đẳng đạt loại khá và có 3 năm kinh nghiệm công tác đúng với chuyên môn đào tạo;
b) Đối với người đã trúng tuyển hoặc đã tốt nghiệp các ngành đào tạo giáo viên trước ngày 07 tháng 5 năm 2020 nếu dự tuyển vào học đại học để đạt trình độ chuẩn theo quy định tại Điều 72 Luật Giáo dục năm 2019, ngưỡng đầu vào: Điểm trung bình tốt nghiệp Cao đẳng từ 5.0 trở lên theo thang điểm 10 hoặc 2.0 trở lên theo thang điểm 4.
        Lưu ý:
Thí sinh đã tốt nghiệp Cao đẳng chuyên ngành phù hợp.
Đối với thí sinh không tốt nghiệp Cao đẳng đúng ngành đào tạo giáo viên phải nộp thêm Chứng chỉ sư phạm (có thể nộp bổ sung trong vòng một năm sau khi nhập học).
","THÔNG TIN TUYỂN SINH HỆ ĐÀO TẠO VỪA LÀM VỪA HỌC
",Ngưỡng đầu vào đối với khối Vừa làm vừa học liên thông Cao đẳng – Đại học ngành Sư phạm Tiếng Anh:
"Thời gian tuyển sinh
","```markdown
| Đợt xét tuyển | Nhận hồ sơ                            | Thời gian dự kiến nhận kết quả xét tuyển |
| ------------- | ------------------------------------- | ---------------------------------------- |
| Đợt 2         | Từ ngày ra Thông báo đến hết tháng 06 | Tháng 07                                 |
| Đợt 3         | Từ ngày ra Thông báo đến hết tháng 11 | Tháng 12                                 |
```","THÔNG TIN TUYỂN SINH HỆ ĐÀO TẠO VỪA LÀM VỪA HỌC
","Thời gian tuyển sinh
"
Phòng Đào tạo,"Phòng A1.201; A1.202 (tầng 2) và A1.401 (tầng 4), Tòa nhà trung tâm,  
Website: https://aao.hcmute.edu.vn/ 
Email: pdt@hcmute.edu.vn, 
Fanpage: https://www.facebook.com/pdtspkt/ 
Số điện thoại: 028.3896.1333; 028.3722.1223 – ext.8120 
Phụ trách các công tác liên quan đến sinh viên bao gồm: 
+ Xây dựng và quản lý các chương trình đào tạo; Xây dựng kế hoạch, tổ chức và quản lý đào tạo; 
+ Tổ chức đăng ký môn học, lập thời khóa biểu, lịch thi; 
+ Phối hợp tổ chức nhập điểm I, dò kiểm điểm theo quy định, chuyển điểm ngoại ngữ và quản lý điểm, gồm: kiểm tra giám sát dữ liệu nhập điểm; giải quyết đơn đính chính điểm của giảng viên, đơn xin chuyển điểm, bảo lưu điểm; lưu trữ bảng điểm gốc; 
+ Xử lý kết quả học tập cuối mỗi học kỳ, tổng hợp, lưu trữ dữ liệu và công bố cho SV. Cấp chứng nhận kết quả học tập, bảng điểm, chứng nhận tốt nghiệp; cấp bảng điểm, xét nợ học phần, xét tốt nghiệp,…;
+ Chủ trì xét cảnh báo học tập, tốt nghiệp;
+ Tổ chức kiểm tra trình độ ngoại ngữ đầu vào và đầu ra cho SV,...",HƯỚNG DẪN SINH VIÊN LIÊN HỆ CÁC ĐƠN VỊ,CÁC PHÒNG/ĐƠN VỊ CHỨC NĂNG
Phòng Tuyển sinh và Công tác sinh viên,"Phòng A1.203; A1.204 (tầng 2), Tòa nhà trung tâm,  
Website: https://sao.hcmute.edu.vn/ 
Email: p.cthssv@hcmute.edu.vn, 
Fanpage: https://www.facebook.com/ute.sao 
Số điện thoại: 028.3722.2764; 028.3722.1223 – ext. 8170.
Phụ trách các công tác liên quan đến sinh viên bao gồm: 
+ Tổ chức tiếp nhận Tân SV nhập học, bố trí SV vào lớp SV;
+ Quản lý hồ sơ của SV; cấp các loại giấy tờ: Giấy chứng nhận SV, giấy chứng nhận để vay tín dụng ưu đãi, xác nhận sổ ưu đãi,…
+ Giải quyết các chế độ chính sách, xét miễn giảm học phí, trợ cấp khó khăn cho SV; 
+ Tổ chức đánh giá điểm rèn luyện, hoạt động công tác xã hội; 
+ Tổ chức xét học bổng, khen thưởng, kỷ luật SV; 
+ Tiếp nhận và giải quyết các đơn, giấy đề nghị của SV.",HƯỚNG DẪN SINH VIÊN LIÊN HỆ CÁC ĐƠN VỊ,CÁC PHÒNG/ĐƠN VỊ CHỨC NĂNG
Phòng Kế hoạch Tài chính,"Phòng A1.102 (tầng 1); A1.701, A1.702 (tầng 7), Tòa nhà trung tâm,  
Website: https://fpo.hcmute.edu.vn/ 
Email: phong.khtc@hcmute.edu.vn, 
Số điện thoại: 028.3896.2166; 028.3722.1223 – ext. 8130, 
Phụ trách các công tác liên quan đến sinh viên bao gồm: 
+ Tổ chức thu học phí, hướng dẫn SV đóng học phí, cấp hóa đơn học phí và xác nhận SV đóng học phí; 
+ Thực hiện cấp, phát học bổng, trợ cấp xã hội, trợ cấp khó khăn, tiền khen thưởng cho SV,…
",HƯỚNG DẪN SINH VIÊN LIÊN HỆ CÁC ĐƠN VỊ,CÁC PHÒNG/ĐƠN VỊ CHỨC NĂNG
Phòng Tổ chức Hành chính,"Phòng A1.101 (tầng 1), Tòa nhà trung tâm,  
Website: https://hrmo.hcmute.edu.vn/ 
Email: ptchc@hcmute.edu.vn, 
Fanpage: https://www.facebook.com/hcmuteHRMO 
Số điện thoại: 028.3896.8641; 028.3722.5142; 028.37221.223 – ext. 8100,  
Phụ trách các công tác liên quan đến sinh viên bao gồm: 
+ Phụ trách công tác giữ gìn trật tự an ninh tro        ng khuôn viên trường;
+ Hướng dẫn SV gặp Ban Giám hiệu (khi cần thiết), giải quyết các yêu cầu về văn thư; 
",HƯỚNG DẪN SINH VIÊN LIÊN HỆ CÁC ĐƠN VỊ,CÁC PHÒNG/ĐƠN VỊ CHỨC NĂNG
Phòng Quản trị cơ sở vật chất,"Phòng A1.706; A1.707 (tầng 7), Tòa nhà trung tâm,  
Website: https://fmo.hcmute.edu.vn/ 
Email: p.qtcsvc@hcmute.edu.vn, 
Fanpage: https://www.facebook.com/fmo.hcmute/  
Số điện thoại: 028.3722.3502; 028.3722.1223 – ext. 8200,  
Phụ trách các công tác liên quan đến sinh viên bao gồm: 
+ Giải quyết các yêu cầu về cơ sở vật chất, hệ thống điện, nước trong trường;
+ Phụ trách về cảnh quan, môi trường, cây xanh… trong khuôn viên trường;
+ Hỗ trợ cho SV mượn phòng học phục vụ học tập và sinh hoạt ngoại khóa... 
",HƯỚNG DẪN SINH VIÊN LIÊN HỆ CÁC ĐƠN VỊ,CÁC PHÒNG/ĐƠN VỊ CHỨC NĂNG
