title,content,category,sub_category,content_index
Các ngành dự kiến mở mới năm 2025 học tại trường ĐH SPKT TP. HCM,"```markdown
| TT | Tên ngành đào tạo | Chương trình Đào tạo bằng tiếng Việt | Tổ hợp môn xét tuyển dự kiến (in đậm là môn chính nhân hệ số 2) | Mã ngành |
|----|--------------------|--------------------------------------|----------------------------------------------------------------------------------------|----------|
| 1  | Dinh dưỡng & Khoa học thực phẩm | 7720402V | (**Hóa** – Toán – Lý); (**Hóa** – Toán – Sinh); (**Hóa** – Toán – Anh); (**Hóa** – Toán – Công nghệ Công nghiệp). | 7720402V |
| 2  | Quản lý tài nguyên & môi trường (chuyên ngành Môi trường và Phát triển bền vững) | 7850101V | (**Toán** – Anh – Văn); (**Toán** – Anh – Hóa); (**Toán** – Anh – Sinh); (**Toán** – Anh – GDKT&PL). | 7850101V |
| 3  | Công nghệ tài chính | 7340205V | (**Toán** – Lý – Hóa); (**Toán** – Lý – Anh); (**Toán** – Văn – Anh); (**Toán** – Anh – Công nghệ Công nghiệp). | 7340205V |
| 4  | Quản trị kinh doanh | 7340101V | | 7340101V |
| 5  | Vật lý kỹ thuật (định hướng công nghệ bán dẫn và cảm biến, đo lường) | 7520401V | (**Toán** – Lý – Hóa); (**Toán** – Lý – Anh); (**Toán** – Lý – Tin); (**Toán** – Lý – Sinh). | 7520401V |
| 6  | Công nghệ truyền thông (Truyền thông số và Công nghệ đa phương tiện) | 7320106V | (**Toán** – Văn – Anh); (**Toán** – Văn – Sử); (**Toán** – Văn – Tin); (**Toán** – Văn – Công nghệ Công nghiệp). | 7320106V |",Các ngành dự kiến mở mới năm 2025 học tại trường ĐH SPKT TP. HCM,Các ngành dự kiến mở mới năm 2025 học tại trường ĐH SPKT TP. HCM,0
Các ngành dự kiến đào tạo năm 2025 học tại Bình Phước,"```markdown
| TT | Tên ngành đào tạo \n Cấp học bổng học kỳ 1 năm học đầu tiên: bằng 50% học phí cho nữ học 6 ngành kỹ thuật (*) | Chương trình Đào tạo bằng tiếng Việt | Tổ hợp môn xét tuyển dự kiến (in đậm là môn chính nhân hệ số 2) | Mã ngành |
|----|--------------------|------------------------------------------------------------------------------------------------|--------------------------------------|----------------------------------------------------------------------------------------|----------|
| 1  | Công nghệ Kỹ thuật điện, điện tử | 7510301BP | | **Toán** – Lý – Hóa; **Toán** – Lý – Anh; **Toán** – Văn – Anh; **Toán** – Anh – Công nghệ Công nghiệp; **Toán** – Văn – Lý. | 7510301BP |
| 2  | Công nghệ Kỹ thuật điều khiển và tự động hóa | 7510303BP | | | 7510303BP |
| 3  | Công nghệ Kỹ thuật cơ khí * | 7510201BP | | | 7510201BP |
| 4  | Quản lý xây dựng | 7580302BP | | | 7580302BP |
| 5  | Công nghệ Kỹ thuật ô tô * | 7510205BP | | | 7510205BP |
| 6  | Công nghệ thông tin | 7480201BP | | | 7480201BP |
| 7  | Quản lý công nghiệp | 7510601BP | | | 7510601BP |
| 8  | Kế toán | 7340301BP | | | 7340301BP |
| 9  | Thương mại điện tử | 7340122BP | | | 7340122BP |
| 10 | Logistics và quản lý chuỗi cung ứng | 7510605BP | | | 7510605BP |
| 11 | Kinh doanh Quốc tế | 7340120BP | | | 7340120BP |
| 12 | Ngôn ngữ Anh | 7220201BP | | (**Anh** – Văn – Toán); (**Anh** – Toán – Tin); (**Anh** – Toán – Sử); (**Anh** – Toán – Địa). | 7220201BP |",Các ngành dự kiến đào tạo năm 2025 học tại Bình Phước,Các ngành dự kiến đào tạo năm 2025 học tại Bình Phước,0
"TOEFL iBT
","Theo Thông tư số 23/2021/TT-BGDĐT ngày 30 tháng 8 năm 2021 của Bộ trưởng Bộ Giáo dục và Đào tạo.
```markdown
| Chứng chỉ/Văn bằng | Thang điểm | Điểm IELTS | Điểm quy đổi |
|---------------------|------------|------------|--------------|
| TOEFL iBT           | 35-39      | 4.5        | 7,5          |
|                     | 40 – 45    | 5.0        | 8,0          |
|                     | 46 – 61    | 5.5        | 8,5          |
|                     | 62 – 77    | 6.0        | 9,0          |
|                     | 78 – 93    | 6.5        | 9,5          |
|                     | 94 trở đi  | 7.0        | 10           |",Bảng tham chiếu quy đổi một số văn bằng hoặc chứng chỉ tiếng Anh tương đương,"TOEFL iBT
",0
TOEFL ITP,"Theo Thông tư số 23/2021/TT-BGDĐT ngày 30 tháng 8 năm 2021 của Bộ trưởng Bộ Giáo dục và Đào tạo.
```markdown
| Chứng chỉ/Văn bằng | Thang điểm | Điểm IELTS | Điểm quy đổi |
|---------------------|------------|------------|--------------|
| TOEFL ITP           | 466 – 482  | 4.5        | 7,5          |
|                     | 483 – 499  | 5.0        | 8,0          |
|                     | 500 trở đi | 5.5        | 8,5          |",Bảng tham chiếu quy đổi một số văn bằng hoặc chứng chỉ tiếng Anh tương đương,TOEFL ITP,1
"VSTEP 


","Theo Thông tư số 23/2021/TT-BGDĐT ngày 30 tháng 8 năm 2021 của Bộ trưởng Bộ Giáo dục và Đào tạo.
```markdown
| Chứng chỉ/Văn bằng | Thang điểm | Điểm IELTS | Điểm quy đổi |
|---------------------|------------|------------|--------------|
| VSTEP               | B1         | 4.5        | 7,5          |
|                     | B2         | 6.0        | 9,0          |",Bảng tham chiếu quy đổi một số văn bằng hoặc chứng chỉ tiếng Anh tương đương,"VSTEP 


",2
Ngành Kiến trúc,"Trang bị kiến thức, kỹ năng về kiến trúc mỹ thuật như: công tác quy hoạch – thiết kế đô thị, khả năng lĩnh hội nghệ thuật kiến trúc, phương pháp luận sáng tạo, phương pháp sáng tác kiến trúc, kỹ năng tư vấn thiết kế.
Cơ hội việc làm: Kiến trúc sư thực hiện các công việc tại các tập đoàn tư vấn kiến trúc & xây dựng đa quốc gia; Công ty tư vấn kiến trúc & XD trực thuộc Nhà nước và Doanh nghiệp tư nhân; các công ty tư vấn thiết kế kiến trúc trong và ngoài nước, giám sát kiến trúc & xây dựng; các nhà thầu thi công; các ban quản lý dự án; Phòng quản lý đô thị; các phòng ban chức năng thuộc Sở Quy hoạch – Kiến trúc và Sở Xây dựng…
",MÔ TẢ CHI TIẾT CÁC NGÀNH ĐÀO TẠO ĐẠI HỌC CHÍNH QUY,Ngành Kiến trúc,0
Ngành kiến trúc nội thất,"Đào tạo các kiến thức theo hướng Kiến trúc sư chủ trì, có khả năng làm việc xuyên suốt quá trình thực hiện một dự án như Thiết kế kiến trúc công trình quy mô nhỏ và vừa, thiết kế nội ngoại thất công trình tất cả các quy mô… Đây là thế mạnh khác biệt rất lớn so với ngành Thiết kế nội thất truyền thống khi chỉ tập trung giải quyết các vấn đề mỹ thuật nội thất trong công trình.
Cơ hội việc làm: Đảm nhiệm các công việc như: Chủ trì, tư vấn thiết kế kiến trúc công trình quy mô nhỏ và vừa; Chủ trì thiết kế nội ngoại thất công trình; Giám sát, thi công công trình kiến trúc, Nội thất, Ngoại thất; Nghiên cứu tại các viện Khoa học công nghệ; Khởi nghiệp đa lĩnh vực ngành xây dựng như nhà sản xuất, phân phối trang thiết bị Nội thất,...
",MÔ TẢ CHI TIẾT CÁC NGÀNH ĐÀO TẠO ĐẠI HỌC CHÍNH QUY,Ngành kiến trúc nội thất,1
Ngành Công nghệ Kỹ thuật công trình xây dựng (AUN-QA),"Trang bị các kiến thức, những nguyên lý kỹ thuật cơ bản và các kỹ năng kỹ thuật để phát triển toàn diện nghề nghiệp kỹ sư xây dựng dân dụng và công nghiệp, đào tạo kiến thức và kỹ năng thực hành cao về thiết kế, tổ chức quản lý, lập các biện pháp thi công các loại công trình xây dựng dân dụng và công nghiệp. 
Cơ hội việc làm: Kỹ sư Công nghệ Kỹ thuật công trình xây dựng đảm nhận công việc trong các công ty xây dựng trong và ngoài nước, cơ quan quản lý xây dựng với các vai trò thiết kế, thi công, giám sát, quản lý hoặc thẩm tra các dự án xây dựng công trình dân dụng và công nghiệp hoặc giảng dạy, nghiên cứu tại các Viện, trường Đại học, Cao đẳng, Trung cấp nghề,….
",MÔ TẢ CHI TIẾT CÁC NGÀNH ĐÀO TẠO ĐẠI HỌC CHÍNH QUY,Ngành Công nghệ Kỹ thuật công trình xây dựng (AUN-QA),2
Ngành Quản lý xây dựng,"Trang bị kiến thức chuyên sâu về dự án và quản lý dự án đầu tư xây dựng trên từng phương diện cụ thể: quản lý tài chính, quản lý nguồn lực, quản lý tiến độ, quản lý chi phí và chất lượng dự án; kiến thức về định mức và tổ chức lao động, tổ chức quản lý và giao khoán sản xuất, giám sát và nghiệm thu công trình. Sinh viên có năng lực phân tích, tổng hợp để quản lý công tác thi công trên công trường xây dựng; xây dựng các kế hoạch, tổ chức thực hiện kế hoạch và quản lý hoạt động sản xuất kinh doanh của doanh nghiệp xây dựng.
Cơ hội việc làm: Chuyên viên tổ chức quản lý hoạt động sản xuất kinh doanh thuộc lĩnh vực đầu tư xây dựng trong các tổ chức, doanh nghiệp xây dựng; Kỹ sư lập và thẩm định dự án đầu tư, quản lý các dự án đầu tư xây dựng; Giám sát và nghiệm thu công trình về mặt tài chính, định mức và tổ chức lao động; Giám đốc dự án, giám đốc các tổ chức, doanh nghiệp trong lĩnh vực xây dựng.
",MÔ TẢ CHI TIẾT CÁC NGÀNH ĐÀO TẠO ĐẠI HỌC CHÍNH QUY,Ngành Quản lý xây dựng,3
Ngành Hệ thống kỹ thuật công trình xây dựng,"Trang bị cho sinh viên kiến thức về hệ thống kỹ thuật trong công gồm các hạng mục điều hòa không khí và thông gió, phòng cháy, chữa cháy, cấp thoát nước, cung cấp gas LPG và khí nén, phân phối, cung cấp điện, chiếu sáng, Điều khiển, Điện nhẹ. Cung cấp kiến thức về hệ thống thông gió và điều hòa không khí; hệ thống cấp thoát nước và phòng cháy chữa cháy trong công trình; hệ thống xử lý nước cấp và nước thải; hệ thống thang máy; hệ thống điện chiếu sáng và điện động lực; hệ thống mạng thông tin liên lạc và an toàn an ninh; hệ thống tự động hóa trong công trình; lập báo cáo đánh giá tác động môi trường các dự án.
Cơ hội việc làm: Đảm nhận các vị trí, lĩnh vực thiết kế, thi công, giám sát thi công, vận hành và bảo trì, bảo dưỡng hệ thống Cơ - Điện trong các công trình dân dụng & công nghiệp.
",MÔ TẢ CHI TIẾT CÁC NGÀNH ĐÀO TẠO ĐẠI HỌC CHÍNH QUY,Ngành Hệ thống kỹ thuật công trình xây dựng,4
Ngành Quản lý và Vận hành hạ tầng,"Ngành Quản lý và vận hành hạ tầng trang bị cho người học 2 mảng chuyên môn lớn là:
+  Quản lý đầu tư xây dựng hạ tầng: Sinh viên được cung cấp những kiến thức cơ bản về lập dự án đầu tư xây dựng hạ tầng, phân tích tài chính - kinh tế của dự án, quản lý chất lượng và tiến độ công trình, dự toán - đấu thầu, an toàn lao động, văn bản pháp luật hiện hành…
+ Vận hành - khai thác hạ tầng: Sinh viên được trang bị chuyên môn liên ngành Giao thông - Cơ khí - Điện tử - IT đáp ứng được công tác vận hành – khai thác thực tế của một công trình hạ tầng hiện đại như Metro, đường hầm lớn, cao tốc... Kiến thức vận hành và khai thác hạ tầng bao gồm: hệ thống ITS giám sát và điều khiển vận hành, hệ thống điện-chiếu sáng-dự phòng, hệ thống thông gió, thiết bị an toàn, phòng cháy - chữa cháy, hệ thống cấp nước - xả thải, xử lý sự cố khẩn cấp, cứu hộ cứu nạn, hệ thống thu phí dừng – không dừng, thu phí kín – mở, duy tu và bảo dưỡng hạ tầng.
Cơ hội việc làm: kỹ sư Tư vấn thiết kế và lập dự toán công trình cầu đường, hạ tầng, kỹ sư Thi công công trình, chuyên viên Quản lý dự án xây dựng hạ tầng, kỹ sư Tư vấn giám sát công trình, Tư vấn đấu thầu, Chuyên viên các sở, ban, ngành liên quan công trình hạ tầng.
",MÔ TẢ CHI TIẾT CÁC NGÀNH ĐÀO TẠO ĐẠI HỌC CHÍNH QUY,Ngành Quản lý và Vận hành hạ tầng,5
Ngành Kỹ thuật xây dựng công trình giao thông,"Chương trình học sẽ trang bị cho sinh viên đầy đủ kiến thức, khả năng áp dụng những nguyên lý kỹ thuật cơ bản và các kỹ năng, kỹ thuật để phát triển toàn diện nghề nghiệp kỹ sư xây dựng công trình giao thông. Những kiến thức và kỹ năng thực hành cao về thiết kế, tổ chức quản lý,... Khối lượng thực hành cao giúp SV tiếp cận với kỹ thuật và công nghệ tiên tiến, có khả năng hòa nhập nhanh với môi trường làm việc trong tương lai.
Cơ hội việc làm: SV có thể làm việc trong các công ty xây dựng, cầu đường, hải cảng, cơ quan quản lý xây dựng với các vai trò thiết kế, thi công, giám sát, quản lý hoặc thẩm tra các dự án xây dựng công trình giao thông; hoặc giảng dạy, nghiên cứu tại các Viện, trường Đại học, Cao đẳng, Trung cấp,….
",MÔ TẢ CHI TIẾT CÁC NGÀNH ĐÀO TẠO ĐẠI HỌC CHÍNH QUY,Ngành Kỹ thuật xây dựng công trình giao thông,6
"Ngành Công nghệ Kỹ thuật điện, điện tử (AUN-QA","Trang bị các nguyên lý tổng quát và các yếu tố nền tảng kỹ thuật cốt lõi trong lĩnh vực hệ thống điện và truyền động điện tự động; kiến thức về lĩnh vực hệ thống cung cấp điện, tiết kiệm năng lượng điện và truyền động điện tự động, được đào tạo theo hướng công nghệ; thiết kế và thi công các mạch điện, các thiết bị ứng dụng thực tế về Điện - Điện tử và những thiết bị điện công nghiệp.
Cơ hội việc làm: Kỹ sư vận hành, bảo dưỡng, thiết kế, triển khai, nâng cấp các hệ thống sản xuất tự động tại các xí nghiệp công nghiệp; trong các công ty điện lực, xây lắp điện, tư vấn thiết kế điện; giảng dạy, nghiên cứu tại các Viện, trường Đại học, Cao đẳng, Trung cấp Chuyên nghiệp. 
",MÔ TẢ CHI TIẾT CÁC NGÀNH ĐÀO TẠO ĐẠI HỌC CHÍNH QUY,"Ngành Công nghệ Kỹ thuật điện, điện tử (AUN-QA",7
